Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Downtown Montréal Nord,45.50435,-73.57668000000001,Belvédère Kondiaronk,45.503440129643565,-73.58678512301853,Scenic Lookout
Downtown Montréal Nord,45.50435,-73.57668000000001,Burger Bar Crescent,45.49798073789932,-73.57722765793771,Burger Joint
Downtown Montréal Nord,45.50435,-73.57668000000001,Benelux,45.50962,-73.57098,Beer Bar
Downtown Montréal Nord,45.50435,-73.57668000000001,Chalet du Mont-Royal,45.503904,-73.58746,Historic Site
Downtown Montréal Nord,45.50435,-73.57668000000001,Amelias,45.510711,-73.572728,Pizza Place
Downtown Montréal Nord,45.50435,-73.57668000000001,Maison Birks,45.50375617988779,-73.56903498468428,Jewelry Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Europea,45.49768544853375,-73.57437266013704,French Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Salle Wilfrid Pelletier - Place des Arts,45.50849945163347,-73.56709996990374,Concert Hall
Downtown Montréal Nord,45.50435,-73.57668000000001,Apple Sainte-Catherine,45.497642,-73.575745,Electronics Store
Downtown Montréal Nord,45.50435,-73.57668000000001,Pavillon Jean-Noël Desmarais (MBAM),45.498274576190525,-73.57917845249176,Art Museum
Downtown Montréal Nord,45.50435,-73.57668000000001,Fairmont The Queen Elizabeth,45.50051084361017,-73.56819591822071,Hotel
Downtown Montréal Nord,45.50435,-73.57668000000001,Cinéma du Parc,45.510292055198015,-73.5751925988514,Indie Movie Theater
Downtown Montréal Nord,45.50435,-73.57668000000001,Stade Percival-Molson Memorial Stadium (Stade Mémorial Percival-Molson),45.51043713898763,-73.58028888702393,Football Stadium
Downtown Montréal Nord,45.50435,-73.57668000000001,Place des Arts,45.50813123533511,-73.56596877466284,Performing Arts Venue
Downtown Montréal Nord,45.50435,-73.57668000000001,Première Moisson,45.51061108928106,-73.57573361721023,Bakery
Downtown Montréal Nord,45.50435,-73.57668000000001,Brasserie T,45.507251999183616,-73.56649446008318,French Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,La Maison Symphonique de Montréal,45.509441547983485,-73.56659883480758,Concert Hall
Downtown Montréal Nord,45.50435,-73.57668000000001,Lola Rosa,45.507021,-73.566403,Vegetarian / Vegan Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Opéra de Montreal,45.508271755944975,-73.5682725906372,Opera House
Downtown Montréal Nord,45.50435,-73.57668000000001,Café Myriade,45.496103,-73.577927,Café
Downtown Montréal Nord,45.50435,-73.57668000000001,Café Aunja,45.497784253258516,-73.5804163883497,Café
Downtown Montréal Nord,45.50435,-73.57668000000001,Place du Canada,45.4986468234261,-73.56921672821045,Plaza
Downtown Montréal Nord,45.50435,-73.57668000000001,Luminotherapie,45.50766363682667,-73.56708558755265,Public Art
Downtown Montréal Nord,45.50435,-73.57668000000001,Esplanade de la Place des Arts,45.507708632734094,-73.56583081422299,Plaza
Downtown Montréal Nord,45.50435,-73.57668000000001,Kafein,45.49703310359842,-73.57724351374652,Café
Downtown Montréal Nord,45.50435,-73.57668000000001,Ristorante Beatrice (BICE),45.49698578605088,-73.58114809395758,Italian Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,NYKS Bistro Pub,45.50632425917815,-73.56638244378388,French Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Musée d'art contemporain de Montréal (MAC) (Musée d'art contemporain de Montréal (MACM)),45.50785097286559,-73.56670633766454,Art Museum
Downtown Montréal Nord,45.50435,-73.57668000000001,Koa Lua,45.495903253405935,-73.57695227823368,Hawaiian Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Chocolats Favoris,45.508148780196976,-73.56523514485079,Dessert Shop
Downtown Montréal Nord,45.50435,-73.57668000000001,Gyu Kaku,45.49694006809792,-73.57518197910338,Japanese Restaurant
Downtown Montréal Nord,45.50435,-73.57668000000001,Parma Café,45.495896968005106,-73.57498736852337,Italian Restaurant
